,run_ID,n_samp,time_start,time_end,duration,duration_float,n_trades,tot_trade_vol,trade_vol_h,tot_trade_vol_2,trade_vol_h_2,n_targ_tot,n_targ_1,n_targ_2,n_targ_3,n_SL_tot,n_SL_1,n_SL_2,n_SL_3,accuracy_tot,accuracy_1,accuracy_2,accuracy_3,price_start,price_end,price_X,price_SD,price_min,price_max,spread_bp_X,spread_bp_SD,PNL_glob,PNL_trade,PNL_disp,pred_on_time,pred_len,pred_len_X,pred_len_SD,pred_len_min,pred_len_max,pred_size,pred_size_X,pred_size_SD,pred_size_min,pred_size_max
0,1,42779,2024-01-24 10:34:25.004,2024-01-24 22:40:09.004,0 days 12:05:44,11.883055555555556,76,0.36439999999999984,0.03066551345286237,14580.372799999994,1226.9885242759292,36,16,7,13,40,18,10,12,47.368421052631575,47.05882352941176,41.17647058823529,52.0,40184.38,39894.19,40012,173,39560,40561,0.7089843713528402,0.26990107100216815,-0.07586239137720241,-0.16819482748574735,-0.04270272618478006,15.38,"[364, 77, 33, 110, 63, 149, 101, 92, 210, 72, 26, 44, 106, 133, 65, 22, 45, 16, 204, 83, 20, 86, 73, 55, 26, 45, 28, 196, 36, 0, 26, 0, 149, 208, 26, 44, 103, 34, 41, 120, 89, 44, 28, 193, 75, 210, 79, 44, 48, 77, 24, 122, 97, 23, 284, 109, 92, 202, 167, 39, 197, 55, 68, 73, 47, 34, 136, 129, 61, 28, 25, 62, 62, 35, 56, 134]",86,68,0,364,"[50.494299999998475, 35.146221249997325, 20.11327500000334, 20.12309500000265, 20.11092500000086, 25.134943750003004, 35.127618749997055, 35.14216999999917, 25.139593749998312, 35.220762500001, 20.131815000000643, 20.108189999999013, 25.098050000000512, 35.059079999999085, 35.012241249998624, 25.022799999998824, 24.998837500002992, 25.03000625000277, 25.06648750000022, 25.03188124999724, 24.964268750001793, 34.97594625000056, 34.962619999998424, 34.82587500000227, 25.00361249999696, 25.069731249997858, 50.29743749999761, 49.9149499999985, 34.978125000001455, 25.050981250002224, 25.04656249999971, 25.012656250000873, 25.001900000002934, 35.023773749999236, 24.982499999998254, 25.008562499999243, 25.04401250000228, 35.0947712499983, 25.02057500000228, 35.066500000000815, 25.013481249996403, 25.106087499996647, 35.14208250000229, 25.086324999996577, 35.15400000000227, 25.12636249999923, 25.081324999999197, 25.125212500002817, 25.071712500001013, 49.69000000000233, 24.91228124999907, 24.898931249997986, 24.913206249999348, 19.935145000003104, 24.884899999997288, 19.878859999997076, 19.86978999999701, 49.990037499999744, 34.98788125000283, 24.96618750000198, 34.8495350000012, 24.86451875000057, 24.854449999998906, 34.77693624999665, 34.756793749998906, 34.718354999997246, 24.830037500003527, 24.882212500000605, 24.831081249998533, 19.889940000000934, 19.922749999997905, 19.944374999999127, 19.968939999998838, 19.948270000000775, 19.961934999999357, 19.952030000000377]",28,7,19,50
1,2,20731,2024-01-24 22:47:58.003,2024-01-25 04:38:44.009,0 days 05:50:46.006000,5.758611111111111,47,0.26141000000000003,0.045394626404900884,10479.665490000001,1819.8251779460716,23,8,9,6,23,7,7,9,48.93617021276596,50.0,56.25,40.0,39856.04,40021.59,40089,79,39850,40244,0.590449642494914,0.22583242998682612,-0.06673857303133145,-0.059733373627811004,0.0,29.41,"[19, 92, 45, 77, 14, 50, 373, 42, 30, 31, 53, 411, 405, 106, 83, 83, 40, 36, 26, 76, 286, 0, 8, 140, 68, 167, 144, 66, 47, 312, 308, 66, 124, 195, 104, 189, 451, 41, 154, 46, 126, 132, 113, 205, 451, 21, 42]",129,124,0,451,"[14.973907500003406, 14.987677500001155, 19.993929999996908, 25.046799999996438, 20.038934999996854, 20.04220499999792, 35.16903250000178, 15.079740000001038, 15.073901249998016, 15.071250000000873, 20.111595000002126, 25.1362500000032, 25.085531249998894, 20.080504999998084, 25.080856250002398, 20.045429999998305, 25.101906249998137, 25.117681249997986, 15.071077499997045, 20.09761499999877, 20.091804999996384, 25.061862499998824, 25.052468750000116, 25.036387499996636, 20.028574999996636, 20.036384999999427, 20.033544999998412, 15.02467500000057, 20.020949999998265, 25.021993750000547, 40.02599000000191, 14.983901250001509, 19.98448500000086, 19.998254999998608, 25.00132499999745, 20.026230000003125, 25.063668750000943, 15.046916250001232, 15.025455000002694, 15.020790000002307, 15.019650000002002, 30.03149249999842, 20.03012000000308, 15.00801749999664, 15.010758750002424, 15.0, 15.01453125000262]",20,5,14,40
2,3,20850,2024-01-25 09:56:51.003,2024-01-25 15:49:39.003,0 days 05:52:48,5.791666666666667,39,0.15827808084565614,0.027328589498530557,6336.82124473669,1094.1274091631694,19,12,4,3,20,6,3,11,48.717948717948715,66.66666666666666,57.14285714285714,21.428571428571427,40103.41,39731.42,40036,135,39693,40343,0.2756557164786611,0.19928379405675517,-0.17789524315225352,-0.0845259301627155,-0.07848678638229989,19.57,"[39, 65, 64, 58, 157, 25, 20, 200, 50, 289, 68, 18, 105, 4, 59, 77, 92, 52, 29, 238, 49, 3, 451, 124, 200, 138, 24, 24, 57, 299, 361, 113, 36, 58, 177, 126, 25, 12, 94]",104,102,3,451,"[20.02025500000309, 35.02969750000193, 25.03801250000106, 15.023865000002843, 15.03094874999806, 15.047636249997595, 15.047471249999944, 20.052519999997457, 15.044632500001171, 20.078200000003562, 20.068225000002712, 25.090231249996577, 35.171902499998396, 25.1683875000017, 25.152293749997625, 15.077955000000657, 20.116164999999455, 15.087899999998626, 15.08095124999818, 25.078431250003632, 20.021529999998165, 20.002294999998412, 49.894412499998, 34.9153612500013, 24.927700000000186, 34.91395249999914, 19.924650000000838, 19.94302500000049, 19.943129999999655, 34.938645000002, 24.965324999997392, 24.99002499999915, 25.02969999999914, 35.03606749999744, 35.02033500000107, 24.980106249997334, 24.95858749999752, 24.913693750000675, 34.881507500002044]",24,7,15,49
